"Ejemplo,AFI,Interpretaciones,Clasificación"
"de.ló.ro,deˈloɾo,de loro / del oro,Ambigüedad silábica"
"ya.yér.ba.su.su.rán.te.co.mou.nrí.o,ʝaˈʝeɾβa.su.suˈɾan.te.koˈmown.ˈɾi.o,y a hierba susurrante como un río / ya ayer va susurrante como un río,Ambigüedad silábica"
"ejemplo3,eˈxemplo3,Interpretación3a / Interpretación3b,Ambigüedad silábica"
"ejemplo4,eˈxemplo4,Interpretación4a / Interpretación4b,Ambigüedad silábica"
"ejemplo5,eˈxemplo5,Interpretación5a / Interpretación5b,Ambigüedad silábica"
"ejemplo6,eˈxemplo6,Interpretación6a / Interpretación6b,Ambigüedad silábica"
"ejemplo7,eˈxemplo7,Interpretación7a / Interpretación7b,Ambigüedad silábica"
"ejemplo8,eˈxemplo8,Interpretación8a / Interpretación8b,Ambigüedad silábica"
"ejemplo9,eˈxemplo9,Interpretación9a / Interpretación9b,Ambigüedad silábica"
"ejemplo10,eˈxemplo10,Interpretación10a / Interpretación10b,Ambigüedad silábica"
"ejemplo11,eˈxemplo11,Interpretación11a / Interpretación11b,Ambigüedad silábica"
"ejemplo12,eˈxemplo12,Interpretación12a / Interpretación12b,Ambigüedad silábica"
"ejemplo13,eˈxemplo13,Interpretación13a / Interpretación13b,Ambigüedad silábica"
"ejemplo14,eˈxemplo14,Interpretación14a / Interpretación14b,Ambigüedad silábica"
"ejemplo15,eˈxemplo15,Interpretación15a / Interpretación15b,Ambigüedad silábica"
"ejemplo16,eˈxemplo16,Interpretación16a / Interpretación16b,Ambigüedad silábica"
"ejemplo17,eˈxemplo17,Interpretación17a / Interpretación17b,Ambigüedad silábica"
"ejemplo18,eˈxemplo18,Interpretación18a / Interpretación18b,Ambigüedad silábica"
"ejemplo19,eˈxemplo19,Interpretación19a / Interpretación19b,Ambigüedad silábica"
"ejemplo20,eˈxemplo20,Interpretación20a / Interpretación20b,Ambigüedad silábica"
"ejemplo21,eˈxemplo21,Interpretación21a / Interpretación21b,Ambigüedad silábica"
"ejemplo22,eˈxemplo22,Interpretación22a / Interpretación22b,Ambigüedad silábica"
"ejemplo23,eˈxemplo23,Interpretación23a / Interpretación23b,Ambigüedad silábica"
"ejemplo24,eˈxemplo24,Interpretación24a / Interpretación24b,Ambigüedad silábica"
"ejemplo25,eˈxemplo25,Interpretación25a / Interpretación25b,Ambigüedad silábica"
"ejemplo26,eˈxemplo26,Interpretación26a / Interpretación26b,Ambigüedad silábica"
"ejemplo27,eˈxemplo27,Interpretación27a / Interpretación27b,Ambigüedad silábica"
"ejemplo28,eˈxemplo28,Interpretación28a / Interpretación28b,Ambigüedad silábica"
"ejemplo29,eˈxemplo29,Interpretación29a / Interpretación29b,Ambigüedad silábica"
"ejemplo30,eˈxemplo30,Interpretación30a / Interpretación30b,Ambigüedad silábica"
"ejemplo31,eˈxemplo31,Interpretación31a / Interpretación31b,Ambigüedad silábica"
"ejemplo32,eˈxemplo32,Interpretación32a / Interpretación32b,Ambigüedad silábica"
"ejemplo33,eˈxemplo33,Interpretación33a / Interpretación33b,Ambigüedad silábica"
"ejemplo34,eˈxemplo34,Interpretación34a / Interpretación34b,Ambigüedad silábica"
"ejemplo35,eˈxemplo35,Interpretación35a / Interpretación35b,Ambigüedad silábica"
"ejemplo36,eˈxemplo36,Interpretación36a / Interpretación36b,Ambigüedad silábica"
"ejemplo37,eˈxemplo37,Interpretación37a / Interpretación37b,Ambigüedad silábica"
"ejemplo38,eˈxemplo38,Interpretación38a / Interpretación38b,Ambigüedad silábica"
"ejemplo39,eˈxemplo39,Interpretación39a / Interpretación39b,Ambigüedad silábica"
"ejemplo40,eˈxemplo40,Interpretación40a / Interpretación40b,Ambigüedad silábica"
"ejemplo41,eˈxemplo41,Interpretación41a / Interpretación41b,Ambigüedad silábica"
"ejemplo42,eˈxemplo42,Interpretación42a / Interpretación42b,Ambigüedad silábica"
"ejemplo43,eˈxemplo43,Interpretación43a / Interpretación43b,Ambigüedad silábica"
"ejemplo44,eˈxemplo44,Interpretación44a / Interpretación44b,Ambigüedad silábica"
"ejemplo45,eˈxemplo45,Interpretación45a / Interpretación45b,Ambigüedad silábica"
"ejemplo46,eˈxemplo46,Interpretación46a / Interpretación46b,Ambigüedad silábica"
"ejemplo47,eˈxemplo47,Interpretación47a / Interpretación47b,Ambigüedad silábica"
"ejemplo48,eˈxemplo48,Interpretación48a / Interpretación48b,Ambigüedad silábica"
"ejemplo49,eˈxemplo49,Interpretación49a / Interpretación49b,Ambigüedad silábica"
"ejemplo50,eˈxemplo50,Interpretación50a / Interpretación50b,Ambigüedad silábica"
"ejemplo51,eˈxemplo51,Interpretación51a / Interpretación51b,Ambigüedad silábica"
"ejemplo52,eˈxemplo52,Interpretación52a / Interpretación52b,Ambigüedad silábica"
"ejemplo53,eˈxemplo53,Interpretación53a / Interpretación53b,Ambigüedad silábica"
"ejemplo54,eˈxemplo54,Interpretación54a / Interpretación54b,Ambigüedad silábica"
"ejemplo55,eˈxemplo55,Interpretación55a / Interpretación55b,Ambigüedad silábica"
"ejemplo56,eˈxemplo56,Interpretación56a / Interpretación56b,Ambigüedad silábica"
"ejemplo57,eˈxemplo57,Interpretación57a / Interpretación57b,Ambigüedad silábica"
"ejemplo58,eˈxemplo58,Interpretación58a / Interpretación58b,Ambigüedad silábica"
"ejemplo59,eˈxemplo59,Interpretación59a / Interpretación59b,Ambigüedad silábica"
"ejemplo60,eˈxemplo60,Interpretación60a / Interpretación60b,Ambigüedad silábica"
"ejemplo61,eˈxemplo61,Interpretación61a / Interpretación61b,Ambigüedad silábica"
"ejemplo62,eˈxemplo62,Interpretación62a / Interpretación62b,Ambigüedad silábica"
"ejemplo63,eˈxemplo63,Interpretación63a / Interpretación63b,Ambigüedad silábica"
"ejemplo64,eˈxemplo64,Interpretación64a / Interpretación64b,Ambigüedad silábica"
"ejemplo65,eˈxemplo65,Interpretación65a / Interpretación65b,Ambigüedad silábica"
"ejemplo66,eˈxemplo66,Interpretación66a / Interpretación66b,Ambigüedad silábica"
"ejemplo67,eˈxemplo67,Interpretación67a / Interpretación67b,Ambigüedad silábica"
"ejemplo68,eˈxemplo68,Interpretación68a / Interpretación68b,Ambigüedad silábica"
"ejemplo69,eˈxemplo69,Interpretación69a / Interpretación69b,Ambigüedad silábica"
"ejemplo70,eˈxemplo70,Interpretación70a / Interpretación70b,Ambigüedad silábica"
"ejemplo71,eˈxemplo71,Interpretación71a / Interpretación71b,Ambigüedad silábica"
"ejemplo72,eˈxemplo72,Interpretación72a / Interpretación72b,Ambigüedad silábica"
"ejemplo73,eˈxemplo73,Interpretación73a / Interpretación73b,Ambigüedad silábica"
"ejemplo74,eˈxemplo74,Interpretación74a / Interpretación74b,Ambigüedad silábica"
"ejemplo75,eˈxemplo75,Interpretación75a / Interpretación75b,Ambigüedad silábica"
"ejemplo76,eˈxemplo76,Interpretación76a / Interpretación76b,Ambigüedad silábica"
"ejemplo77,eˈxemplo77,Interpretación77a / Interpretación77b,Ambigüedad silábica"
"ejemplo78,eˈxemplo78,Interpretación78a / Interpretación78b,Ambigüedad silábica"
"ejemplo79,eˈxemplo79,Interpretación79a / Interpretación79b,Ambigüedad silábica"
"ejemplo80,eˈxemplo80,Interpretación80a / Interpretación80b,Ambigüedad silábica"
"ejemplo81,eˈxemplo81,Interpretación81a / Interpretación81b,Ambigüedad silábica"
"ejemplo82,eˈxemplo82,Interpretación82a / Interpretación82b,Ambigüedad silábica"
"ejemplo83,eˈxemplo83,Interpretación83a / Interpretación83b,Ambigüedad silábica"
"ejemplo84,eˈxemplo84,Interpretación84a / Interpretación84b,Ambigüedad silábica"
"ejemplo85,eˈxemplo85,Interpretación85a / Interpretación85b,Ambigüedad silábica"
"ejemplo86,eˈxemplo86,Interpretación86a / Interpretación86b,Ambigüedad silábica"
"ejemplo87,eˈxemplo87,Interpretación87a / Interpretación87b,Ambigüedad silábica"
"ejemplo88,eˈxemplo88,Interpretación88a / Interpretación88b,Ambigüedad silábica"
"ejemplo89,eˈxemplo89,Interpretación89a / Interpretación89b,Ambigüedad silábica"
"ejemplo90,eˈxemplo90,Interpretación90a / Interpretación90b,Ambigüedad silábica"
"ejemplo91,eˈxemplo91,Interpretación91a / Interpretación91b,Ambigüedad silábica"
"ejemplo92,eˈxemplo92,Interpretación92a / Interpretación92b,Ambigüedad silábica"
"ejemplo93,eˈxemplo93,Interpretación93a / Interpretación93b,Ambigüedad silábica"
"ejemplo94,eˈxemplo94,Interpretación94a / Interpretación94b,Ambigüedad silábica"
"ejemplo95,eˈxemplo95,Interpretación95a / Interpretación95b,Ambigüedad silábica"
"ejemplo96,eˈxemplo96,Interpretación96a / Interpretación96b,Ambigüedad silábica"
"ejemplo97,eˈxemplo97,Interpretación97a / Interpretación97b,Ambigüedad silábica"
"ejemplo98,eˈxemplo98,Interpretación98a / Interpretación98b,Ambigüedad silábica"
"ejemplo99,eˈxemplo99,Interpretación99a / Interpretación99b,Ambigüedad silábica"
"ejemplo100,eˈxemplo100,Interpretación100a / Interpretación100b,Ambigüedad silábica"